,id,created_at,coordinates,text,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,in_reply_to_status_text,Date,DayOfWeek,Day,Month,Year,Month1,Date1,text_new,text_reply,Sentiment,SentimentScor
0,6.415149901518234e+17,Wed Sep 09 07:34:27 +0000 2015,,"@thunderquack Торг. точка ZAF Cape Town AAC STD прислала в банк запрос на снятие наличных 06.09.2015, по этой причине была удержана комиссия",thunderquack,A641299547243835392,0.0,"@alfa_bank А что ж вы с меня комиссию рубите, а? ""Забыли"" упомянуть? http://t.co/SBDneHFq8B",2015-09-09 07:34:27,3,9,9,2015,01.09.2015,9.09.2015," Торг. точка ZAF Cape Town AAC STD прислала в банк запрос на снятие наличных 06.09.2015, по этой причине была удержана комиссия"," А что ж вы с меня комиссию рубите, а? ""Забыли"" упомянуть? ",neutral,0
1,6.415158385462518e+17,Wed Sep 09 07:37:49 +0000 2015,,"@rafanasyev Для клиентов с пакетом услуг ""Корпоративный"" услуга осталась платной. Сделали ее бесплатной для ПУ ""Комфорт"" с 01.09.2015",rafanasyev,A641334259970670593,0.0,ND,2015-09-09 07:37:49,3,9,9,2015,01.09.2015,9.09.2015," Для клиентов с пакетом услуг ""Корпоративный"" услуга осталась платной. Сделали ее бесплатной для ПУ ""Комфорт"" с 01.09.2015",ND,neutral,0
2,6.415214512926228e+17,Wed Sep 09 08:00:07 +0000 2015,,"@thunderquack Признаться считали, что вопрос касался лишь порядка конвертации. Приносим извинения. Комиссию вернем.",thunderquack,A641515916505821184,0.0,"@alfa_bank Ещё раз. Я спросил, какие я расходы понесу при снятии наличных. Вы ответили +2.5% от курса. А вышло +2.5%+150р. Это было честно?",2015-09-09 08:00:07,3,9,9,2015,01.09.2015,9.09.2015," Признаться считали, что вопрос касался лишь порядка конвертации. Приносим извинения. Комиссию вернем."," Ещё раз. Я спросил, какие я расходы понесу при снятии наличных. Вы ответили +2.5% от курса. А вышло +2.5%+150р. Это было честно?",positive,0
3,6.415286479674819e+17,Wed Sep 09 08:28:43 +0000 2015,,"@ArtemZyryanov Согласны, пора. А ситуацию разбираем с руководителем отделения. Все отзывы в соцсетях идут по назначению.",ArtemZyryanov,A641294644693872644,0.0,"@alfa_bank Ну и да, пора попросить добавить в CRMку аккаунты клиентов в соцсетях:) А то к чему все эти вопросы? Что, когда, какой ПУ?:)",2015-09-09 08:28:43,3,9,9,2015,01.09.2015,9.09.2015," Согласны, пора. А ситуацию разбираем с руководителем отделения. Все отзывы в соцсетях идут по назначению."," Ну и да, пора попросить добавить в CRMку аккаунты клиентов в соцсетях:) А то к чему все эти вопросы? Что, когда, какой ПУ?:)",positive,0
4,6.415403166134723e+17,Wed Sep 09 09:15:05 +0000 2015,,@superasd2 Сбоев в работе сайта и банкоматов не наблюдали. Банкоматом по какому адресу пытались воспользоваться?,superasd2,A641499261117444096,0.0,"Сайт Альфа-Банка лежит, и банкоматы не работают. Это уже #Бетоннаястена или еще нет?",2015-09-09 09:15:05,3,9,9,2015,01.09.2015,9.09.2015, Сбоев в работе сайта и банкоматов не наблюдали. Банкоматом по какому адресу пытались воспользоваться?,"Сайт Альфа-Банка лежит, и банкоматы не работают. Это уже  или еще нет?",negative,0
5,6.415415214692311e+17,Wed Sep 09 09:19:52 +0000 2015,,"@maxim_vasin Уточните, в каком отделении сейчас?",maxim_vasin,A641527053720887296,0.0,ND,2015-09-09 09:19:52,3,9,9,2015,01.09.2015,9.09.2015," Уточните, в каком отделении сейчас?",ND,neutral,0
6,6.415435974693683e+17,Wed Sep 09 09:28:07 +0000 2015,,"@KeaneAF Поверьте, когда вы к нему привыкнете, то поймете все его преимущества и не захотите возвращаться на старый дизайн.",KeaneAF,A641494587299631104,0.0,Alfa-Bank сделал нечто невероятное со своим банк-клиентом. Так изуродовать приятный и удобный интерфейс не все могут.,2015-09-09 09:28:07,3,9,9,2015,01.09.2015,9.09.2015," Поверьте, когда вы к нему привыкнете, то поймете все его преимущества и не захотите возвращаться на старый дизайн.",альфа-Bank сделал нечто невероятное со своим банк-клиентом. Так изуродовать приятный и удобный интерфейс не все могут.,negative,0
7,6.415437932427305e+17,Wed Sep 09 09:28:54 +0000 2015,,@KeaneAF А что именно не нравится в новом дизайне? По оценкам большинства пользователей он признан более удобным и привлекательным.,alfabank,A641543597469368320,0.0,"@KeaneAF Поверьте, когда вы к нему привыкнете, то поймете все его преимущества и не захотите возвращаться на старый дизайн.",2015-09-09 09:28:54,3,9,9,2015,01.09.2015,9.09.2015, А что именно не нравится в новом дизайне? По оценкам большинства пользователей он признан более удобным и привлекательным.," Поверьте, когда вы к нему привыкнете, то поймете все его преимущества и не захотите возвращаться на старый дизайн.",negative,0
8,6.415450895594496e+17,Wed Sep 09 09:34:03 +0000 2015,,@superasd2 Странно. Сейчас банкомат в исправном состоянии. Последнее успешное обращение 40м назад.,superasd2,A641541461708828673,0.0,@alfa_bank пр. Ленина 38 (м-н Фортуна) 2 часа назад не было связи с проц. центром(((,2015-09-09 09:34:03,3,9,9,2015,01.09.2015,9.09.2015, Странно. Сейчас банкомат в исправном состоянии. Последнее успешное обращение 40м назад., пр. Ленина 38 (м-н Фортуна) 2 часа назад не было связи с проц. центром(((,negative,0
9,6.4156186146125e+17,Wed Sep 09 10:40:42 +0000 2015,,@denswor Переводите через нашу форму? https://t.co/L7fTUe9iHU,denswor,A641559128939319296,0.0,"c карты на карту из @sberbank в @alfa_bank деньги идут очень долго. быстрее ногами дойти до банкомата сбера, снять там и положить в A. адок",2015-09-09 10:40:42,3,9,9,2015,01.09.2015,9.09.2015, Переводите через нашу форму? ,"c карты на карту из  в  деньги идут очень долго. быстрее ногами дойти до банкомата сбера, снять там и положить в A. адок",positive,0
